"","ANIO","REG","MES","NM_RECURSO","Precio_ponderado","Q_total_consolidado","N_Plantas_Compradoras"
"358",2020,3,8,"SARDINA ESPAÑOLA",119505,32.315,1
"359",2020,3,10,"SARDINA ESPAÑOLA",127365,14.98,1
"360",2021,3,2,"SARDINA ESPAÑOLA",131098,10.623,1
"361",2021,3,3,"SARDINA ESPAÑOLA",131235,1.105,1
"362",2021,3,5,"SARDINA ESPAÑOLA",125453,74.955,1
"363",2021,3,6,"SARDINA ESPAÑOLA",136158,18.6,1
"364",2021,3,7,"SARDINA ESPAÑOLA",134667,3.102,1
"365",2021,3,10,"SARDINA ESPAÑOLA",145852,3.022,1
"366",2021,3,11,"SARDINA ESPAÑOLA",145971,43.325,1
"367",2021,3,12,"SARDINA ESPAÑOLA",157389,66.959,1
"368",2022,3,3,"SARDINA ESPAÑOLA",153239,20.112,1
"369",2022,3,4,"SARDINA ESPAÑOLA",156031,12.232,1
"370",2022,3,5,"SARDINA ESPAÑOLA",171487,4.755,1
"371",2022,3,7,"SARDINA ESPAÑOLA",178871,46.638,1
"372",2022,3,8,"SARDINA ESPAÑOLA",181840,30.18,1
"373",2022,3,12,"SARDINA ESPAÑOLA",173849,72.289,1
"374",2023,3,6,"SARDINA ESPAÑOLA",185710,145.52,1
"375",2023,3,7,"SARDINA ESPAÑOLA",185419,376.218,1
"376",2023,3,10,"SARDINA ESPAÑOLA",224443,62.093,1
"377",2023,3,11,"SARDINA ESPAÑOLA",230301,505.336,1
"378",2023,3,12,"SARDINA ESPAÑOLA",211215,186.436,1
"379",2024,3,7,"SARDINA ESPAÑOLA",185419,158.68,1
"380",2024,3,11,"SARDINA ESPAÑOLA",230301,3.6,1
"381",2024,3,12,"SARDINA ESPAÑOLA",211215,73.825,1
"382",2012,4,1,"ANCHOVETA",73000,933,1
"383",2012,4,2,"ANCHOVETA",69000,1180,1
"384",2012,4,3,"ANCHOVETA",70000,4146,1
"385",2012,4,4,"ANCHOVETA",65000,6785,1
"386",2012,4,5,"ANCHOVETA",68000,3007,1
"387",2012,4,6,"ANCHOVETA",72000,3672,1
"388",2012,4,7,"ANCHOVETA",62000,401,1
"389",2012,4,8,"ANCHOVETA",65000,403,1
"390",2012,4,9,"ANCHOVETA",62000,477,1
"391",2012,4,10,"ANCHOVETA",64000,1339,1
"392",2012,4,11,"ANCHOVETA",73000,69,1
"393",2012,4,12,"ANCHOVETA",61000,388,1
"394",2013,4,1,"ANCHOVETA",89052,9.49,1
"395",2013,4,2,"ANCHOVETA",98294,79.703,1
"396",2013,4,3,"ANCHOVETA",85729,961.133,1
"397",2013,4,4,"ANCHOVETA",83260,1943.174,1
"398",2013,4,5,"ANCHOVETA",94370,4725.253,1
"399",2013,4,6,"ANCHOVETA",89800,3195.349,1
"400",2013,4,7,"ANCHOVETA",90820,542.189,1
"401",2013,4,8,"ANCHOVETA",85990,380.531,1
"402",2013,4,11,"ANCHOVETA",75930,9.534,1
"403",2013,4,12,"ANCHOVETA",71358,90.603,1
"404",2014,4,1,"ANCHOVETA",74840,871.279,1
"405",2014,4,2,"ANCHOVETA",74800,426.673,1
"406",2014,4,3,"ANCHOVETA",85940,2543.476,1
"407",2014,4,4,"ANCHOVETA",89150,4200.507,1
"408",2014,4,5,"ANCHOVETA",88050,5372.327,1
"409",2014,4,6,"ANCHOVETA",89730,3239.226,1
"410",2014,4,7,"ANCHOVETA",93010,1832.066,1
"411",2014,4,8,"ANCHOVETA",96780,285.738,1
"412",2014,4,9,"ANCHOVETA",109590,106.607,1
"413",2014,4,10,"ANCHOVETA",97260,1385.086,1
"414",2015,4,1,"ANCHOVETA",132883,464.406,1
"415",2015,4,2,"ANCHOVETA",108130,1171.422,1
"416",2015,4,3,"ANCHOVETA",104740,389.011,1
"417",2015,4,4,"ANCHOVETA",139260,2888.088,1
"418",2015,4,5,"ANCHOVETA",125900,1893.596,1
"419",2015,4,6,"ANCHOVETA",122190,2684.824,1
"420",2015,4,7,"ANCHOVETA",110532,216.285,1
"421",2015,4,8,"ANCHOVETA",111940,34.344,1
"422",2016,4,7,"ANCHOVETA",112870,824,1
"423",2016,4,9,"ANCHOVETA",117950,28,1
"424",2017,4,7,"ANCHOVETA",89000,928,1
"425",2017,4,8,"ANCHOVETA",88000,254,1
"426",2017,4,10,"ANCHOVETA",91000,3,1
"427",2017,4,11,"ANCHOVETA",88000,9,1
"428",2017,4,12,"ANCHOVETA",90000,12,1
"429",2018,4,4,"ANCHOVETA",78830,3807.574,1
"430",2018,4,5,"ANCHOVETA",86350,3272.049,1
"431",2018,4,6,"ANCHOVETA",86200,4254.333,1
"432",2018,4,7,"ANCHOVETA",92310,407.998,1
"433",2019,4,2,"ANCHOVETA",94410,2889.16,1
"434",2019,4,3,"ANCHOVETA",93550,6917.12,1
"435",2019,4,4,"ANCHOVETA",92420,4808.3,1
"436",2019,4,5,"ANCHOVETA",93160,2822.6,1
"437",2019,4,6,"ANCHOVETA",102830,4517.3,1
"438",2019,4,7,"ANCHOVETA",98300,1225.44,1
"439",2020,4,3,"ANCHOVETA",108990,5235.024,1
"440",2020,4,4,"ANCHOVETA",129670,5889.05,1
"441",2020,4,5,"ANCHOVETA",130870,5941.995,1
"442",2020,4,6,"ANCHOVETA",125630,2218.166,1
"443",2020,4,7,"ANCHOVETA",124011,5685.61,1
"444",2020,4,8,"ANCHOVETA",113739,1018.838,1
"445",2021,4,2,"ANCHOVETA",108680,1136.157,1
"446",2021,4,3,"ANCHOVETA",106900,2810.893,1
"447",2021,4,4,"ANCHOVETA",106790,8735.345,1
"448",2021,4,5,"ANCHOVETA",102880,6651.04,1
"449",2021,4,6,"ANCHOVETA",106200,3393.633,1
"450",2021,4,7,"ANCHOVETA",110480,4213.887,1
"451",2021,4,8,"ANCHOVETA",167000,292.91,1
"452",2022,4,3,"ANCHOVETA",126460,2267.257,1
"453",2022,4,4,"ANCHOVETA",124870,6063.252,1
"454",2022,4,5,"ANCHOVETA",134820,6205.286,1
"455",2022,4,6,"ANCHOVETA",147360,6733.984,1
"456",2022,4,7,"ANCHOVETA",165556,5733.316,1
"457",2022,4,11,"ANCHOVETA",162859,190.259,1
"458",2022,4,12,"ANCHOVETA",165556,103.855,1
"459",2023,4,1,"ANCHOVETA",148850,29.142,1
"460",2023,4,2,"ANCHOVETA",132110,125.082,1
"461",2023,4,3,"ANCHOVETA",145520,2802.009,1
"462",2023,4,4,"ANCHOVETA",138390,3599.764,1
"463",2023,4,5,"ANCHOVETA",145860,3625.801,1
"464",2023,4,6,"ANCHOVETA",145390,2243.7,1
"465",2013,4,11,"JUREL",202588.490872535,137.771,2
"466",2013,4,12,"JUREL",116829.580398055,513.949,2
"467",2014,4,1,"JUREL",112649.078729567,2122.049,2
"468",2014,4,2,"JUREL",153942.673578334,122.884,2
"469",2014,4,3,"JUREL",284640,3.36,1
"470",2014,4,4,"JUREL",110200,10.232,1
"471",2014,4,5,"JUREL",112350,6.337,1
"472",2014,4,6,"JUREL",114520,35.556,1
"473",2014,4,7,"JUREL",140190,140.648,1
"474",2014,4,8,"JUREL",145350,403.251,1
"475",2015,4,1,"JUREL",181427,2143.907,1
"476",2015,4,2,"JUREL",159987,2541.501,1
"477",2015,4,3,"JUREL",149555,742.729,1
"478",2015,4,4,"JUREL",194041,694.312,1
"479",2015,4,5,"JUREL",180269,417.033,1
"480",2015,4,6,"JUREL",174685,54.508,1
"481",2015,4,7,"JUREL",140225,218.25,1
"482",2015,4,8,"JUREL",144220,1027.956,1
"483",2015,4,9,"JUREL",162380,496.873,1
"484",2015,4,10,"JUREL",151754,12.314,1
"485",2015,4,12,"JUREL",152960,186.765,1
"486",2016,4,7,"JUREL",166410,1287,1
"487",2016,4,8,"JUREL",186840,31,1
"488",2016,4,9,"JUREL",179390,140,1
"489",2016,4,10,"JUREL",170100,12,1
"490",2016,4,11,"JUREL",155460,186,1
"491",2017,4,7,"JUREL",156000,1718,1
"492",2017,4,8,"JUREL",154000,1348,1
"493",2017,4,9,"JUREL",151958.791208791,364,2
"494",2017,4,10,"JUREL",149000,22,1
"495",2017,4,11,"JUREL",172000,136,1
"496",2018,4,1,"JUREL",166900,1341.32318,1
"497",2018,4,2,"JUREL",166900,2336.636156,1
"498",2018,4,3,"JUREL",161170,332.58555,1
"499",2018,4,4,"JUREL",111190,404.123,1
"500",2018,4,5,"JUREL",121530,15.325,1
"501",2018,4,7,"JUREL",196000,4.377,1
"502",2018,4,8,"JUREL",198000,2.34,1
"503",2018,4,10,"JUREL",210000,29.018,1
"504",2018,4,11,"JUREL",5e+05,2,1
"505",2019,4,1,"JUREL",144130,474.44,1
"506",2019,4,2,"JUREL",136280,2370.97,1
"507",2019,4,3,"JUREL",135030,0.2,1
"508",2019,4,4,"JUREL",135900,284.81,1
"509",2019,4,5,"JUREL",132990,54.54,1
"510",2019,4,12,"JUREL",144976.535386583,1219.53,2
"511",2020,4,1,"JUREL",147652,2800.002,1
"512",2020,4,2,"JUREL",147652,2128.57,1
"513",2020,4,3,"JUREL",147652,782.612,1
"514",2020,4,4,"JUREL",168729,1119.435,1
"515",2020,4,5,"JUREL",173148,95.882,1
"516",2020,4,8,"JUREL",169950.449331005,545.669,2
"517",2020,4,9,"JUREL",219469,27.324,1
"518",2020,4,12,"JUREL",150186,790.094,1
"519",2021,4,1,"JUREL",138668.410667489,3892.2,2
"520",2021,4,2,"JUREL",157243.000453439,3954.229,3
"521",2021,4,3,"JUREL",175740.462796876,2572.835,2
"522",2021,4,4,"JUREL",202965.44040712,91.177,2
"523",2021,4,5,"JUREL",163851.320764181,318.982,2
"524",2021,4,6,"JUREL",164158.039106663,215.82,2
"525",2021,4,7,"JUREL",159470,91.424,1
"526",2021,4,11,"JUREL",175167,158.373,1
"527",2021,4,12,"JUREL",178560,509.829,1
"528",2022,4,1,"JUREL",186484.433672138,2962.473,2
"529",2022,4,2,"JUREL",183760,3248.287,1
"530",2022,4,3,"JUREL",182420,2029.084,1
"531",2022,4,4,"JUREL",219640,48.999,1
"532",2022,4,5,"JUREL",254160,148.297,1
"533",2022,4,6,"JUREL",231590,137.501,1
"534",2022,4,7,"JUREL",244084,1433.612,1
"535",2022,4,11,"JUREL",235661,1324.143,1
"536",2022,4,12,"JUREL",227141,5296.366,1
"537",2023,4,1,"JUREL",300540,99.109,1
"538",2023,4,2,"JUREL",318284,26.026,1
"539",2023,4,3,"JUREL",195609,6.931,1
"540",2023,4,10,"JUREL",252000,6.346,1
"541",2023,4,11,"JUREL",262000,73.155,1
"542",2023,4,12,"JUREL",317000,85.86,1
"543",2024,4,1,"JUREL",265399,82.3,1
"544",2024,4,3,"JUREL",240889,1.35,1
"545",2024,4,4,"JUREL",284382,6.8,1
"546",2024,4,10,"JUREL",320000,7,1
"547",2024,4,12,"JUREL",4e+05,69.77,1
"548",2019,4,5,"SARDINA ESPAÑOLA",93160,87.92,1
"549",2019,4,6,"SARDINA ESPAÑOLA",102830,193.09,1
"550",2012,5,4,"ANCHOVETA",50000,734,1
"551",2012,5,5,"ANCHOVETA",50000,569,1
"552",2012,5,6,"ANCHOVETA",50000,197,1
"553",2012,5,10,"ANCHOVETA",60000,338,1
"554",2012,5,11,"ANCHOVETA",60000,461,1
"555",2013,5,3,"ANCHOVETA",79792,2435.756,1
"556",2013,5,4,"ANCHOVETA",79785,1713.873,1
"557",2013,5,5,"ANCHOVETA",79795,310.107,1
"558",2014,5,3,"ANCHOVETA",85559,1231.815,1
"559",2014,5,4,"ANCHOVETA",85559,1165.021,1
"560",2014,5,5,"ANCHOVETA",85559,932.669,1
"561",2014,5,6,"ANCHOVETA",85559,30.109,1
"562",2014,5,11,"ANCHOVETA",75000,11.295,1
"563",2015,5,7,"ANCHOVETA",1e+05,163.573,1
"564",2015,5,11,"ANCHOVETA",1e+05,63.347,1
"565",2015,5,12,"ANCHOVETA",1e+05,426.98,1
"566",2016,5,3,"ANCHOVETA",1e+05,8,1
"567",2016,5,4,"ANCHOVETA",1e+05,82,1
"568",2016,5,5,"ANCHOVETA",1e+05,939,1
"569",2016,5,6,"ANCHOVETA",1e+05,291,1
"570",2016,5,7,"ANCHOVETA",1e+05,319,1
"571",2017,5,3,"ANCHOVETA",94180,69,1
"572",2017,5,4,"ANCHOVETA",90000,522,1
"573",2017,5,5,"ANCHOVETA",90000,2352,1
"574",2017,5,6,"ANCHOVETA",90000,652,1
"575",2018,5,3,"ANCHOVETA",90000,837.255,1
"576",2018,5,4,"ANCHOVETA",90000,379.513,1
"577",2018,5,7,"ANCHOVETA",90000,13.099,1
"578",2018,5,11,"ANCHOVETA",90000,51.049,1
"579",2018,5,12,"ANCHOVETA",90000,13.301,1
"580",2019,5,4,"ANCHOVETA",1e+05,1809.88,1
"581",2019,5,5,"ANCHOVETA",1e+05,1150.39,1
"582",2019,5,6,"ANCHOVETA",1e+05,101.86,1
"583",2019,5,7,"ANCHOVETA",1e+05,4.74,1
"584",2020,5,4,"ANCHOVETA",1e+05,276.763,1
"585",2012,5,3,"JUREL",59000,226,1
"586",2016,5,3,"JUREL",114000,4,1
"587",2016,5,5,"JUREL",7e+05,1,1
"588",2017,5,5,"JUREL",120000,79,1
"589",2020,5,2,"JUREL",120000,135.234,1
"590",2020,5,3,"JUREL",120000,114.849,1
"591",2020,5,4,"JUREL",120000,210.989,1
"592",2022,5,1,"JUREL",350000,35.572,1
"593",2012,5,4,"SARDINA COMUN",50000,2949,1
"594",2012,5,5,"SARDINA COMUN",50000,2212,1
"595",2012,5,6,"SARDINA COMUN",50000,900,1
"596",2012,5,7,"SARDINA COMUN",50000,583,1
"597",2012,5,8,"SARDINA COMUN",50000,5,1
"598",2012,5,10,"SARDINA COMUN",60000,1292,1
"599",2012,5,11,"SARDINA COMUN",60000,1322,1
"600",2013,5,3,"SARDINA COMUN",79792,2494.115,1
"601",2013,5,4,"SARDINA COMUN",79785,2084.822,1
"602",2013,5,5,"SARDINA COMUN",79795,538.833,1
"603",2013,5,6,"SARDINA COMUN",91053,2.005,1
"604",2014,5,3,"SARDINA COMUN",85559,3216.545,1
"605",2014,5,4,"SARDINA COMUN",85559,3112.487,1
"606",2014,5,5,"SARDINA COMUN",85559,2328.714,1
"607",2014,5,6,"SARDINA COMUN",85559,38.956,1
"608",2014,5,11,"SARDINA COMUN",75000,158.145,1
"609",2014,5,12,"SARDINA COMUN",75000,113.241,1
"610",2015,5,7,"SARDINA COMUN",1e+05,388.498,1
"611",2015,5,11,"SARDINA COMUN",1e+05,995.079,1
"612",2015,5,12,"SARDINA COMUN",1e+05,686.467,1
"613",2016,5,4,"SARDINA COMUN",1e+05,788,1
"614",2016,5,5,"SARDINA COMUN",1e+05,3077,1
"615",2016,5,6,"SARDINA COMUN",1e+05,466,1
"616",2016,5,7,"SARDINA COMUN",1e+05,541,1
"617",2017,5,3,"SARDINA COMUN",91527,440,1
"618",2017,5,4,"SARDINA COMUN",90000,1005,1
"619",2017,5,5,"SARDINA COMUN",90600,1017,1
"620",2017,5,6,"SARDINA COMUN",90000,549,1
"621",2018,5,3,"SARDINA COMUN",90000,1778.676,1
"622",2018,5,4,"SARDINA COMUN",90000,1871.937,1
"623",2018,5,7,"SARDINA COMUN",90000,14.236,1
"624",2018,5,11,"SARDINA COMUN",90000,903.216,1
"625",2018,5,12,"SARDINA COMUN",90000,135.376,1
"626",2019,5,4,"SARDINA COMUN",1e+05,235.59,1
"627",2019,5,5,"SARDINA COMUN",1e+05,621.68,1
"628",2019,5,6,"SARDINA COMUN",1e+05,295.06,1
"629",2019,5,7,"SARDINA COMUN",10000,0.73,1
"630",2019,5,11,"SARDINA COMUN",10000,3.33,1
"631",2019,5,12,"SARDINA COMUN",10000,125.94,1
"632",2020,5,4,"SARDINA COMUN",1e+05,373.377,1
"633",2012,5,8,"SARDINA ESPAÑOLA",59000,10,1
"634",2012,8,2,"ANCHOVETA",62000,10,1
"635",2012,8,3,"ANCHOVETA",65680.4949053857,2748,5
"636",2012,8,4,"ANCHOVETA",71625.9011328527,11652,5
"637",2012,8,5,"ANCHOVETA",73935.1691240243,4612,4
"638",2012,8,6,"ANCHOVETA",79257.5150300601,998,4
"639",2012,8,7,"ANCHOVETA",76176.4705882353,663,3
"640",2012,8,8,"ANCHOVETA",85886.524822695,141,3
"641",2012,8,9,"ANCHOVETA",84000,35,1
"642",2012,8,10,"ANCHOVETA",86921.8612818262,3417,5
"643",2012,8,11,"ANCHOVETA",86910.848305663,4397,4
"644",2012,8,12,"ANCHOVETA",95284.3295638126,2476,4
"645",2013,8,2,"ANCHOVETA",221303,3.641,1
"646",2013,8,3,"ANCHOVETA",91914.8502142493,8316.245,6
"647",2013,8,4,"ANCHOVETA",87400.4526601018,2798.126,3
"648",2013,8,5,"ANCHOVETA",93525.9681177288,1656.281,3
"649",2013,8,6,"ANCHOVETA",93043.807769648,1420.296,3
"650",2013,8,7,"ANCHOVETA",96677.1743897175,227.026,2
"651",2013,8,10,"ANCHOVETA",96830.4867808418,344.5,2
"652",2013,8,11,"ANCHOVETA",92241.1722427589,854.84,2
"653",2013,8,12,"ANCHOVETA",124334.551097446,1029.709,2
"654",2014,8,3,"ANCHOVETA",97765.4230333438,2680.349,4
"655",2014,8,4,"ANCHOVETA",100668.099164788,8806.392,4
"656",2014,8,5,"ANCHOVETA",103679.727296393,2977.093,2
"657",2014,8,6,"ANCHOVETA",101660,311.827,1
"658",2014,8,7,"ANCHOVETA",96266,2124.617,1
"659",2014,8,10,"ANCHOVETA",107642,451.657,1
"660",2014,8,11,"ANCHOVETA",119994,177.897,1
"661",2014,8,12,"ANCHOVETA",114530,47.281,1
"662",2016,8,3,"ANCHOVETA",129284.498954704,2870,2
"663",2016,8,4,"ANCHOVETA",127993.377289377,546,2
"664",2016,8,5,"ANCHOVETA",130000,27,1
"665",2017,8,3,"ANCHOVETA",1e+05,2395,2
"666",2017,8,4,"ANCHOVETA",130349,689,2
"667",2017,8,5,"ANCHOVETA",111783.856015779,507,2
"668",2017,8,6,"ANCHOVETA",130108,68,1
"669",2017,8,10,"ANCHOVETA",95000,318,1
"670",2017,8,11,"ANCHOVETA",96041,1746,1
"671",2017,8,12,"ANCHOVETA",97031,1405,1
"672",2018,8,2,"ANCHOVETA",215570,121.664,1
"673",2018,8,3,"ANCHOVETA",131071,2179.82,2
"674",2018,8,4,"ANCHOVETA",146955,2001.551,2
"675",2018,8,5,"ANCHOVETA",146284,690.259,1
"676",2018,8,6,"ANCHOVETA",155509,1422.888,1
"677",2018,8,10,"ANCHOVETA",139712,29.837,1
"678",2018,8,11,"ANCHOVETA",155022,734.372,1
"679",2018,8,12,"ANCHOVETA",179945,124.501,1
"680",2019,8,3,"ANCHOVETA",145888,3388.43,1
"681",2019,8,4,"ANCHOVETA",156103,4470.09,1
"682",2019,8,5,"ANCHOVETA",176030,1529.42,1
"683",2019,8,6,"ANCHOVETA",162996,576.91,1
"684",2019,8,7,"ANCHOVETA",84863,58.39,1
"685",2019,8,11,"ANCHOVETA",157711,3420.24,1
"686",2019,8,12,"ANCHOVETA",157064.796989076,1103.98,2
"687",2020,8,3,"ANCHOVETA",135960,549.851,2
"688",2020,8,4,"ANCHOVETA",162317,5394.834,2
"689",2020,8,5,"ANCHOVETA",180163,2146.339,2
"690",2020,8,6,"ANCHOVETA",172458,928.686,1
"691",2020,8,7,"ANCHOVETA",174124,852.523,1
"692",2020,8,11,"ANCHOVETA",191823,3814.971,1
"693",2020,8,12,"ANCHOVETA",263052,243.29,1
"694",2021,8,3,"ANCHOVETA",150719.231560719,11630.185,2
"695",2021,8,4,"ANCHOVETA",170640.079964694,3680.962,2
"696",2021,8,5,"ANCHOVETA",168692.224172117,4515.343,2
"697",2021,8,6,"ANCHOVETA",189262,935.946,1
"698",2021,8,7,"ANCHOVETA",144209,1013.878,1
"699",2021,8,11,"ANCHOVETA",161025,896.387,1
"700",2021,8,12,"ANCHOVETA",162192,81.723,1
"701",2022,8,3,"ANCHOVETA",163765.550819715,26705.876,2
"702",2022,8,4,"ANCHOVETA",175099.582980867,21036.289,2
"703",2022,8,5,"ANCHOVETA",183995.35989101,5880.886,2
"704",2022,8,6,"ANCHOVETA",192361.15629618,2752.844,2
