ANIO,MES,RG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,N_PLANTAS,N_TRANSACCIONES,PRECIO_MIN,PRECIO_MAX,CV_PRECIO,N_OUTLIERS_precio,Q_TOTAL,Q_INDUSTRIAL,Q_ARTESANAL,N_FLOTAS_ACTIVAS,N_OUTLIERS_desemb,SHARE_INDUSTRIAL,SHARE_ARTESANAL,FECHA
2012,1,8,JUREL,164000,555,1,1,164000,164000,NA,0,67118.57,66814.505,304.065,2,0,0.9954697336370544,0.00453026636294545,2012-01-01
2012,2,8,ANCHOVETA,62000,10,1,1,62000,62000,NA,0,255.91999999999993,249.91999999999993,6,2,0,0.9765551734917162,0.02344482650828384,2012-02-01
2012,2,8,SARDINA COMUN,62000,790,1,1,62000,62000,NA,0,18603.985999999997,18585.22,18.766,2,0,0.9989912914361472,0.00100870856385292,2012-02-01
2012,2,14,SARDINA COMUN,67000,7567,1,1,67000,67000,NA,0,13115.294999999996,0,13115.294999999996,1,1,0,1,2012-02-01
2012,3,5,JUREL,59000,226,1,1,59000,59000,NA,0,258.15,0,258.15,1,0,0,1,2012-03-01
2012,3,8,ANCHOVETA,62694.845360824744,1455,3,3,62000,63000,0.00921303621047275,0,6355.603999999999,1053.2960000000005,5302.307999999999,2,1,0.16572712837363693,0.8342728716263631,2012-03-01
2012,3,8,SARDINA COMUN,63995.9413296655,88699,6,6,62000,66000,0.0289414301425263,0,216777.33199999976,14111.308999999996,202666.02299999975,2,2,0.06509586989473609,0.934904130105264,2012-03-01
2012,3,14,SARDINA COMUN,62000,20491,1,1,62000,62000,NA,0,23251.638999999966,0,23251.638999999966,1,1,0,1,2012-03-01
2012,4,5,ANCHOVETA,50000,734,1,1,50000,50000,NA,0,763.0609999999998,0,763.0609999999998,1,0,0,1,2012-04-01
2012,4,5,SARDINA COMUN,50000,2949,1,1,50000,50000,NA,0,3069.485,0,3069.485,1,0,0,1,2012-04-01
2012,4,8,ANCHOVETA,66485.42791056284,6485,3,3,62000,68000,0.05248638810814779,0,29744.708999999988,1966.032,27778.67699999999,2,1,0.06609686448773128,0.9339031355122688,2012-04-01
2012,4,8,SARDINA COMUN,68559.06098621289,64408,6,6,62000,73000,0.06353784795919314,0,164634.0050000001,23250.824000000004,141383.1810000001,2,1,0.1412273485055532,0.8587726514944468,2012-04-01
2012,4,14,SARDINA COMUN,67000,16571,1,1,67000,67000,NA,0,17010.24900000001,0,17010.24900000001,1,1,0,1,2012-04-01
2012,5,5,ANCHOVETA,50000,569,1,1,50000,50000,NA,0,588.5899999999999,0,588.5899999999999,1,0,0,1,2012-05-01
2012,5,5,SARDINA COMUN,50000,2212,1,1,50000,50000,NA,0,2449.341000000001,0,2449.341000000001,1,0,0,1,2012-05-01
2012,5,8,ANCHOVETA,66594.37751004015,1743,2,2,62000,75000,0.13419544752445428,0,10106.861,737.2610000000001,9369.6,2,1,0.07294658549276577,0.9270534145072342,2012-05-01
2012,5,8,SARDINA COMUN,72039.91130820398,11275,4,4,62000,77000,0.0972063195947861,0,41729.18700000001,15127.983999999991,26601.203000000016,2,1,0.36252764761508505,0.6374723523849148,2012-05-01
2012,5,14,SARDINA COMUN,74000,13048,1,1,74000,74000,NA,0,14929.454000000009,2165.0899999999997,12764.364000000009,2,1,0.14502137854472097,0.854978621455279,2012-05-01
2012,6,5,ANCHOVETA,50000,197,1,1,50000,50000,NA,0,191.14,0,191.14,1,0,0,1,2012-06-01
2012,6,5,SARDINA COMUN,50000,900,1,1,50000,50000,NA,0,909.941,0,909.941,1,0,0,1,2012-06-01
2012,6,8,ANCHOVETA,75559.60264900663,302,2,2,71000,80000,0.08429087457852884,0,2533.747,548.9399999999999,1984.807,2,0,0.21665146520153747,0.7833485347984624,2012-06-01
2012,6,8,SARDINA COMUN,86144.46043165468,6950,3,3,71000,94000,0.1419211318425609,0,27453.918,18197.710000000003,9256.207999999997,2,1,0.662845645565052,0.3371543544349479,2012-06-01
2012,6,14,SARDINA COMUN,86000,2429,1,1,86000,86000,NA,0,2769.5099999999993,538.2850000000001,2231.2249999999995,2,0,0.19436109636722748,0.8056389036327726,2012-06-01
2012,7,5,SARDINA COMUN,50000,583,1,1,50000,50000,NA,0,589.9700000000001,0,589.9700000000001,1,0,0,1,2012-07-01
2012,7,8,ANCHOVETA,71000,187,1,1,71000,71000,NA,0,1925.8370000000011,428.31499999999994,1497.522000000001,2,0,0.2224045960275972,0.7775954039724028,2012-07-01
2012,7,8,SARDINA COMUN,76696.34384593916,10749,2,2,71000,86000,0.13511594544965874,0,39902.53900000003,8010.276,31892.26300000003,2,1,0.20074602270296615,0.7992539772970337,2012-07-01
2012,7,14,SARDINA COMUN,79000,1934,1,1,79000,79000,NA,0,3058.318,582.9699999999999,2475.348,2,0,0.19061784941919055,0.8093821505808095,2012-07-01
2012,8,5,SARDINA COMUN,50000,5,1,1,50000,50000,NA,0,3.935,0,3.935,1,0,0,1,2012-08-01
2012,8,8,ANCHOVETA,78000,25,1,1,78000,78000,NA,0,296.47,238.087,58.383,2,0,0.8030728235571895,0.1969271764428104,2012-08-01
2012,8,8,SARDINA COMUN,79310.3953147877,4098,2,2,78000,80000,0.01790143749839361,0,13540.762999999995,9144.183,4396.58,2,0,0.6753078094639129,0.3246921905360873,2012-08-01
2012,8,14,SARDINA COMUN,76000,5028,1,1,76000,76000,NA,0,6140.813999999999,409.79,5731.023999999999,2,0,0.06673219543858519,0.9332678045614148,2012-08-01
2012,10,5,ANCHOVETA,60000,338,1,1,60000,60000,NA,0,364.13000000000005,0,364.13000000000005,1,0,0,1,2012-10-01
2012,10,5,SARDINA COMUN,60000,1292,1,1,60000,60000,NA,0,1353.6449999999995,0,1353.6449999999995,1,0,0,1,2012-10-01
2012,10,8,ANCHOVETA,83424.12451361868,1285,3,3,80000,91000,0.07271969039411318,0,6961.278999999993,384.88499999999993,6576.393999999993,2,1,0.05528940874227284,0.9447105912577272,2012-10-01
2012,10,8,SARDINA COMUN,83497.25400457667,13110,5,5,80000,91000,0.05933843504299203,0,37466.82799999997,13189.761,24277.06699999997,2,1,0.3520383684468834,0.6479616315531165,2012-10-01
2012,10,14,SARDINA COMUN,78000,9263,1,1,78000,78000,NA,0,11899.413000000002,1323.8449999999998,10575.568000000005,2,1,0.11125296684802852,0.8887470331519716,2012-10-01
2012,11,5,ANCHOVETA,60000,461,1,1,60000,60000,NA,0,463.08,0,463.08,1,0,0,1,2012-11-01
2012,11,5,SARDINA COMUN,60000,1322,1,1,60000,60000,NA,0,1399.62,0,1399.62,1,0,0,1,2012-11-01
2012,11,8,ANCHOVETA,83128.1407035176,1592,2,2,80000,92000,0.09866606249114616,0,6600.458,3779.474999999999,2820.983000000001,2,2,0.5726079917484512,0.4273920082515488,2012-11-01
2012,11,8,SARDINA COMUN,85767.86281359162,28341,4,4,80000,92000,0.05938459911664722,0,81691.644,56177.927,25513.717000000004,2,2,0.6876826594406644,0.3123173405593356,2012-11-01
2012,11,14,SARDINA COMUN,83000,21790,1,1,83000,83000,NA,0,25341.09100000001,5571.725000000001,19769.36600000001,2,1,0.2198691840063239,0.7801308159936761,2012-11-01
2012,12,8,ANCHOVETA,91828.57142857143,525,2,2,80000,98000,0.1430103602399759,0,4562.525,3868.704999999999,693.8199999999996,2,1,0.8479306962701574,0.1520693037298425,2012-12-01
2012,12,8,SARDINA COMUN,89338.87142643316,13362,4,4,80000,98000,0.09206604461778616,0,39438.629000000015,13498.874000000002,25939.755000000012,2,1,0.342275437617266,0.657724562382734,2012-12-01
2012,12,14,SARDINA COMUN,93000,20076,1,1,93000,93000,NA,0,19815.788999999997,3048.067,16767.721999999998,2,1,0.1538201178868023,0.8461798821131977,2012-12-01
2013,2,8,ANCHOVETA,221303,3.641,1,1,221303,221303,NA,0,15.942,15.942,0,1,0,1,0,2013-02-01
2013,2,8,SARDINA COMUN,149998,448.732,1,1,149998,149998,NA,0,973.811,973.811,0,1,0,1,0,2013-02-01
2013,3,5,ANCHOVETA,79792,2435.756,1,1,79792,79792,NA,0,2471.5109999999995,0,2471.5109999999995,1,1,0,1,2013-03-01
2013,3,5,SARDINA COMUN,79792,2494.115,1,1,79792,79792,NA,0,2537.24,0,2537.24,1,0,0,1,2013-03-01
2013,3,8,ANCHOVETA,88834.3715928417,4476.420999999999,4,4,85000,100208,0.06837896282397452,0,18801.633,44.464,18757.169,2,1,0.00236490096365565,0.9976350990363444,2013-03-01
2013,3,8,SARDINA COMUN,102076.61744335636,21481.015000000003,5,5,85000,191270,0.3995366472947857,0,51996.734,470.75,51525.984,2,2,0.00905345324189015,0.99094654675811,2013-03-01
2013,4,5,ANCHOVETA,79785,1713.8729999999998,1,1,79785,79785,NA,0,1709.563,0,1709.563,1,0,0,1,2013-04-01
2013,4,5,SARDINA COMUN,79785,2084.822,1,1,79785,79785,NA,0,2101.242,0,2101.242,1,0,0,1,2013-04-01
2013,4,8,ANCHOVETA,85000,1278.495,1,1,85000,85000,NA,0,5236.368999999996,0,5236.368999999996,1,1,0,1,2013-04-01
2013,4,8,SARDINA COMUN,91788.24105005186,3219.041,2,2,85000,112082,0.1943339914156958,0,11997.53199999999,17.96,11979.571999999993,2,1,0.0014969745444313,0.9985030254555688,2013-04-01
2013,5,5,ANCHOVETA,79795,310.10699999999997,1,1,79795,79795,NA,0,321.37199999999996,0,321.37199999999996,1,0,0,1,2013-05-01
2013,5,5,SARDINA COMUN,79795,538.833,1,1,79795,79795,NA,0,561.243,0,561.243,1,0,0,1,2013-05-01
2013,5,8,ANCHOVETA,90000,841.2719999999999,1,1,90000,90000,NA,0,2529.2860000000005,824.483,1704.8030000000006,2,0,0.3259746031093359,0.6740253968906641,2013-05-01
2013,5,8,SARDINA COMUN,98282.60075841096,3866.769,2,2,90000,119156,0.19713902840248407,0,11854.431000000002,5238.825,6615.606000000002,2,0,0.4419296885696158,0.5580703114303841,2013-05-01
2013,6,5,SARDINA COMUN,91053,2.005,1,1,91053,91053,NA,0,6.9990000000000006,0,6.9990000000000006,1,0,0,1,2013-06-01
2013,6,8,ANCHOVETA,90000,610.9680000000001,1,1,90000,90000,NA,0,1822.6490000000008,172.015,1650.6340000000005,2,0,0.0943763719728812,0.9056236280271188,2013-06-01
2013,6,8,SARDINA COMUN,98570.9918497853,1518.733,2,2,90000,139995,0.3074136700834491,0,6367.226,2275.4530000000004,4091.773,2,0,0.35736959862897916,0.6426304013710209,2013-06-01
2014,2,10,SARDINA COMUN,90170,28.03,1,1,90170,90170,NA,0,143.386,0,143.386,1,0,0,1,2014-02-01
2014,2,14,ANCHOVETA,88495,615.568,1,1,88495,88495,NA,0,672.1819999999999,0,672.1819999999999,1,0,0,1,2014-02-01
2014,2,14,SARDINA COMUN,88494.99999999999,12416.102999999996,1,1,88495,88495,NA,0,15833.325000000008,0,15833.325000000008,1,1,0,1,2014-02-01
2014,3,5,ANCHOVETA,85559,1231.815,1,1,85559,85559,NA,0,1410.308,0,1410.308,1,0,0,1,2014-03-01
2014,3,5,SARDINA COMUN,85559.00000000001,3216.545,1,1,85559,85559,NA,0,3297.8100000000004,0,3297.8100000000004,1,0,0,1,2014-03-01
2014,3,8,ANCHOVETA,93984.5914011288,1314.847,3,3,85000,101406,0.08804837834630524,0,9088.817999999996,497.58,8591.237999999996,2,1,0.0547463927652639,0.9452536072347362,2014-03-01
2014,3,8,SARDINA COMUN,85890.34304366312,39824.703,4,4,24947,101406,0.45657717978913376,0,167005.40399999966,7321.98,159683.42399999965,2,2,0.04384277289613943,0.9561572271038604,2014-03-01
2014,3,10,SARDINA COMUN,93150,56.55,1,1,93150,93150,NA,0,91.018,0,91.018,1,0,0,1,2014-03-01
2014,3,14,ANCHOVETA,92640,117.158,1,1,92640,92640,NA,0,155.01599999999996,0,155.01599999999996,1,0,0,1,2014-03-01
2014,3,14,SARDINA COMUN,92640,21110.927999999993,1,1,92640,92640,NA,0,25977.487999999983,0,25977.487999999983,1,1,0,1,2014-03-01
2014,4,5,ANCHOVETA,85559,1165.021,1,1,85559,85559,NA,0,1046.0130000000004,0,1046.0130000000004,1,0,0,1,2014-04-01
2014,4,5,SARDINA COMUN,85559,3112.487,1,1,85559,85559,NA,0,3793.957999999999,0,3793.957999999999,1,0,0,1,2014-04-01
2014,4,8,ANCHOVETA,96105.33824988354,4439.156,3,3,85000,105306,0.10771222940128888,0,26567.70700000004,208.384,26359.323000000044,2,1,0.00784350715701583,0.9921564928429842,2014-04-01
2014,4,8,SARDINA COMUN,86210.51875310887,21591.46,4,4,26146,105306,0.4531790177856924,0,96494.81999999998,10417.145,86077.67499999997,2,1,0.10795548403530884,0.8920445159646911,2014-04-01
2014,4,10,SARDINA COMUN,95420,32.6,1,1,95420,95420,NA,0,70.055,0,70.055,1,0,0,1,2014-04-01
2014,4,14,ANCHOVETA,95512,117.833,1,1,95512,95512,NA,0,167.45999999999998,0,167.45999999999998,1,0,0,1,2014-04-01
2014,4,14,SARDINA COMUN,95512,15619.315,1,1,95512,95512,NA,0,19291.61,0,19291.61,1,1,0,1,2014-04-01
2014,5,5,ANCHOVETA,85559,932.669,1,1,85559,85559,NA,0,931.9479999999998,0,931.9479999999998,1,0,0,1,2014-05-01
2014,5,5,SARDINA COMUN,85559,2328.714,1,1,85559,85559,NA,0,1638.9130000000002,0,1638.9130000000002,1,0,0,1,2014-05-01
2014,5,8,ANCHOVETA,96956,20.785,1,1,96956,96956,NA,0,8136.257000000001,973.4789999999998,7162.778000000001,2,1,0.11964703179852844,0.8803529682014715,2014-05-01
2014,5,8,SARDINA COMUN,96956,3649.1020000000008,2,2,96956,96956,0,0,37953.51500000003,18739.271,19214.24400000002,2,1,0.49374270077488175,0.5062572992251181,2014-05-01
2014,5,10,SARDINA COMUN,93070,104.74,1,1,93070,93070,NA,0,378.10100000000006,0,378.10100000000006,1,0,0,1,2014-05-01
2014,5,14,ANCHOVETA,97304,60.785,1,1,97304,97304,NA,0,86.26499999999999,0,86.26499999999999,1,0,0,1,2014-05-01
2014,5,14,SARDINA COMUN,97304,6100.419000000001,1,1,97304,97304,NA,0,8270.163000000004,0,8270.163000000004,1,1,0,1,2014-05-01
2014,6,5,ANCHOVETA,85559,30.109,1,1,85559,85559,NA,0,30.109,0,30.109,1,0,0,1,2014-06-01
2014,6,5,SARDINA COMUN,85559,38.956,1,1,85559,85559,NA,0,50.78,0,50.78,1,0,0,1,2014-06-01
2014,6,8,SARDINA COMUN,97460,1005.904,1,1,97460,97460,NA,0,34657.68400000003,17323.551000000003,17334.133000000023,2,1,0.49984733544226406,0.5001526645577359,2014-06-01
2014,6,14,ANCHOVETA,97316,45.599,1,1,97316,97316,NA,0,81.658,0,81.658,1,0,0,1,2014-06-01
2014,6,14,SARDINA COMUN,97316,6490.853999999999,1,1,97316,97316,NA,0,7653.153,52.111,7601.042,2,1,0.00680908901207123,0.9931909109879288,2014-06-01
2014,7,8,SARDINA COMUN,98674,3849.372,1,1,98674,98674,NA,0,32794.83099999999,8148.687999999999,24646.142999999993,2,1,0.24847476725829143,0.7515252327417086,2014-07-01
2014,7,10,SARDINA COMUN,115460,323.072,1,1,115460,115460,NA,0,118.679,0,118.679,1,0,0,1,2014-07-01
2014,7,14,SARDINA COMUN,98674,7414.426999999999,1,1,98674,98674,NA,0,8974.982,3890.233,5084.749000000001,2,0,0.433453014167605,0.566546985832395,2014-07-01
2014,8,10,SARDINA COMUN,119060,25.4,1,1,119060,119060,NA,0,36.909000000000006,0,36.909000000000006,1,0,0,1,2014-08-01
2014,10,8,SARDINA COMUN,118828,2332.58,1,1,118828,118828,NA,0,28354.785000000025,1879.939,26474.846000000027,2,1,0.06630059088792238,0.9336994091120776,2014-10-01
2014,10,14,SARDINA COMUN,118828,3055.3540000000003,1,1,118828,118828,NA,0,3989.3509999999983,0,3989.3509999999983,1,0,0,1,2014-10-01
2014,11,5,ANCHOVETA,75000,11.295,1,1,75000,75000,NA,0,11.295,0,11.295,1,0,0,1,2014-11-01
2014,11,5,SARDINA COMUN,75000,158.14499999999998,1,1,75000,75000,NA,0,158.245,0,158.245,1,0,0,1,2014-11-01
2014,11,8,SARDINA COMUN,119784,4083.711000000001,1,1,119784,119784,NA,0,27448.484000000008,6409.503,21038.981000000007,2,1,0.23351027328139495,0.7664897267186049,2014-11-01
2014,11,10,SARDINA COMUN,120656,1128.15,1,1,120656,120656,NA,0,166.92200000000005,0,166.92200000000005,1,0,0,1,2014-11-01
2014,11,14,ANCHOVETA,119784,43.675,1,1,119784,119784,NA,0,76.83000000000001,34.158,42.672,2,0,0.4445919562670831,0.5554080437329167,2014-11-01
2014,11,14,SARDINA COMUN,119784,10724.679999999997,1,1,119784,119784,NA,0,16365.09299999998,610.287,15754.80599999998,2,1,0.03729199705739532,0.9627080029426046,2014-11-01
2014,12,5,SARDINA COMUN,75000,113.241,1,1,75000,75000,NA,0,114.156,0,114.156,1,0,0,1,2014-12-01
2014,12,8,SARDINA COMUN,127349,485.26,1,1,127349,127349,NA,0,2298.357,330.949,1967.408,2,0,0.14399373117405173,0.8560062688259483,2014-12-01
2014,12,10,SARDINA COMUN,130250,542.92,1,1,130250,130250,NA,0,188.515,0,188.515,1,0,0,1,2014-12-01
2014,12,14,SARDINA COMUN,127349,2373.725,1,1,127349,127349,NA,0,3191.6099999999988,0,3191.6099999999988,1,0,0,1,2014-12-01
2015,3,8,SARDINA COMUN,128093.1463919342,3856.216964,2,2,127316,128758,0.00796369782540204,0,59057.369999999995,31126.120999999985,27931.24900000001,2,2,0.5270488848385898,0.4729511151614102,2015-03-01
2015,4,8,SARDINA COMUN,114179.71785906445,10997.323,2,2,105140,122265,0.10649900950128297,0,94780.00800000007,2842.9410000000003,91937.06700000008,2,1,0.0299951546743908,0.9700048453256092,2015-04-01
