"","ANIO","MES","SST_Costa","SST_Oceano","Clorofila","viento_velocidad"
"1",2012,1,15.2485853885801,15.7174682217294,5.8601593021472,5.99681765716613
"2",2012,2,14.4165793364632,15.3441262713553,4.90950342157756,5.53715910435866
"3",2012,3,14.0101807734388,14.9417292402747,6.57656217268141,8.59796983689784
"4",2012,4,11.9494505622269,12.7884038746719,5.58037474282508,6.49396390607251
"5",2012,5,12.654115745993,13.2423559003323,2.16746237022171,6.77096621312111
"6",2012,6,11.7545313667558,12.3383155077438,1.70604058436298,7.44615868275887
"7",2012,7,10.8441789902707,11.3406028776753,2.86862338020381,7.34539739000816
"8",2012,8,10.7552846066744,11.0390353335959,2.78960215925804,6.25762239830801
"9",2012,9,11.6357201155586,11.6990097023784,4.26196779889501,6.03551915847692
"10",2012,10,12.3804582954054,12.5322305974193,6.1635337859589,5.058103282491
"11",2012,11,13.0803524170381,13.3999390992521,6.86720458865566,6.71125139486089
"12",2012,12,14.6769797957442,15.027784440883,3.49436275555388,6.63108711929184
"13",2013,1,14.5791490128394,15.2762572529217,8.23283627104517,6.59604926564611
"14",2013,2,14.5085072222199,15.300927868403,6.33222686978311,7.51137300052593
"15",2013,3,13.16505900118,14.079268919007,9.27180707786182,6.19227281967739
"16",2013,4,12.9866348218483,13.8566056709765,6.87889318192775,5.61521741793952
"17",2013,5,12.8332799973557,13.4572344435324,2.18623089263728,5.74834979324939
"18",2013,6,11.2139487764488,11.8727119798131,2.26917710193154,8.36729904697383
"19",2013,7,10.7262457162392,11.1889918191271,3.03128667169319,8.83193208713034
"20",2013,8,10.5482711033565,10.8674466593589,3.10074802837114,6.44990677007964
"21",2013,9,11.0767757249479,11.2402186950602,5.293379092836,5.36267831232949
"22",2013,10,11.7283167079221,11.8611254912078,6.92656628885106,6.21706095039333
"23",2013,11,12.8634072032395,13.0232257224914,6.45285429299451,7.58816835652695
"24",2013,12,13.3081048883057,13.6489511395766,7.55470623305038,6.03499067315816
"25",2014,1,14.2510735960377,14.8654105732562,6.98633176068066,7.23497402128331
"26",2014,2,13.912638694253,14.7482283191033,8.59139885298046,7.8531823940791
"27",2014,3,12.632036388336,13.5243740664007,6.59040590360516,6.93153362458615
"28",2014,4,12.3509404114344,12.997876679948,5.06567481919073,6.10612599059762
"29",2014,5,11.9036359917122,12.3671269142541,3.6370869800384,5.73218806945927
"30",2014,6,11.7407477008024,12.2378586173574,2.12831683856257,7.52681818945669
"31",2014,7,11.0631138729382,11.4653099601602,2.17257276068267,8.10776352099165
"32",2014,8,11.4036536943718,11.5438509131271,2.9008532154844,6.40065177871072
"33",2014,9,12.1094330158188,12.1653155553728,3.76172666156688,6.20357584709931
"34",2014,10,12.8796677306365,13.0391883098955,5.78418381350441,6.94899138523523
"35",2014,11,13.0641741784083,13.5156617488932,7.81740580942062,7.09218457587496
"36",2014,12,13.8173717584872,14.2173922351561,10.0209389914441,7.43878954827216
"37",2015,1,13.9746999069548,14.5483226386887,7.79027148821541,6.81119410320152
"38",2015,2,13.4775041919978,14.3539454372721,8.22209962728387,6.3765953458606
"39",2015,3,14.2180132994789,14.9978878919582,7.37473174172845,5.75984987244765
"40",2015,4,13.9877857454949,14.6608374329033,6.37817812920458,6.02339640097359
"41",2015,5,12.8410651888999,13.8092500315405,2.78043989581893,6.39265914862319
"42",2015,6,12.2326940540793,13.0223748513997,3.00359109083689,6.62921075195185
"43",2015,7,11.2714167741648,11.899746437524,2.34267876891831,7.80794158228544
"44",2015,8,11.617218905464,11.9365988128373,1.97889369285952,6.9944289240071
"45",2015,9,11.7123019633039,11.9616274017304,5.59999003036405,6.66949101800653
"46",2015,10,12.7532728078965,12.8991606621671,7.78808642450593,6.50704031618001
"47",2015,11,13.3712110682184,13.6279206201759,8.67056338141914,6.27366719648087
"48",2015,12,13.7855658747596,14.2541429575984,9.29049864887208,6.22666375938558
"49",2016,1,15.8612962232362,16.3257564385479,9.46293460426652,7.18357762396079
"50",2016,2,14.6860829926064,15.4453634132128,8.74976551530147,6.88447511946841
"51",2016,3,13.4319902014548,14.2526372894725,8.14049565438946,6.15709354605522
"52",2016,4,12.7061249595446,13.1822358587447,5.51044298217458,4.96080645752705
"53",2016,5,13.0710769231802,13.4349910749245,5.87573769797077,4.02340649218489
"54",2016,6,12.1296530165761,12.7219724608067,3.39359445716638,5.7069326690407
"55",2016,7,11.2422613883441,11.6830167414797,2.38085136862967,6.0818485370763
"56",2016,8,11.5914654401331,11.8705551119702,1.82641511535331,7.4189156350441
"57",2016,9,12.0147230039144,12.192442105789,4.69627326513654,5.82805865568278
"58",2016,10,13.0175247601514,13.2056882474204,5.10750626829475,5.83093098353483
"59",2016,11,13.301633821226,13.725490292711,5.69535740009941,7.03557405080466
"60",2016,12,14.6205222305081,15.1444457299266,4.54434789473652,5.16078646363458
"61",2017,1,14.8072705502391,15.6376116876009,6.32257997357871,5.36018005415454
"62",2017,2,15.1265613340296,16.1428355074764,5.49193014338942,5.30145225741376
"63",2017,3,14.913365778318,16.0327201113615,4.72319073269651,3.66808441002135
"64",2017,4,14.2049731669948,15.2045591900759,3.76268834408575,5.67873314711509
"65",2017,5,13.6324480044335,14.5471398742408,2.37369981790765,4.82987034958281
"66",2017,6,12.2155705705544,12.8876840438753,1.74730481256471,6.76086278367825
"67",2017,7,11.5260935714268,12.0560145702433,2.29818828280874,8.65262289378966
"68",2017,8,11.3204371755422,11.6412788908774,1.76702301729465,6.36473897035736
"69",2017,9,11.4746819664414,11.5841727176867,3.70847583081257,7.02402661018842
"70",2017,10,12.0150919035378,12.059854261889,4.73375057168048,6.18959905678084
"71",2017,11,12.8834079040163,13.099035844936,5.34374540103908,8.30116255047233
"72",2017,12,13.2487277554608,13.6043105250221,5.72955884872759,6.86668146856114
"73",2018,1,13.9519809732234,14.5925736152973,6.62915646455583,6.96769179713035
"74",2018,2,14.3389733296353,15.1080310659583,4.44712322440609,5.29868805113687
"75",2018,3,14.0726746409651,15.0997454148156,4.82318131300504,6.84956443934802
"76",2018,4,13.074170233599,13.797755445939,4.73564442024822,5.85893699536636
"77",2018,5,12.3807244117031,12.9349681804814,2.68247356936979,5.98178882532449
"78",2018,6,10.927189232052,11.6502942799473,2.27094680355354,7.67430615750802
"79",2018,7,10.9051355197875,11.5713596300362,2.51133712310153,7.41960634242834
"80",2018,8,10.6865163049761,11.0982900460227,3.96634586200224,7.03565683125095
"81",2018,9,11.4543816944688,11.624178822683,4.20970411026637,7.47494366405067
"82",2018,10,12.3391613375486,12.4228361537237,3.48060666107514,5.80172463963908
"83",2018,11,14.065934643346,14.1843897741131,3.70128893148007,6.72562159932821
"84",2018,12,14.2022054955133,14.7064601297532,5.70971087794676,7.64441331461669
"85",2019,1,14.129363264498,14.3834636293145,6.59252316572094,7.13139273940327
"86",2019,2,14.6340269248689,14.7725789358806,5.80713838484476,5.62015236759235
"87",2019,3,13.7817062677826,14.0089157585483,5.54495534526778,7.66062462552416
"88",2019,4,12.7749823464857,13.2326808796749,4.68659456243057,5.6653669309945
"89",2019,5,11.843355700589,12.3723788321727,2.65396692994437,6.5168862280931
"90",2019,6,11.4097951317723,12.0047173863774,1.62275625492721,5.20039674936568
"91",2019,7,10.8779925689632,11.350025656943,1.78820256524952,6.58150697850083
"92",2019,8,10.8731710820118,11.1401364548449,2.43394115549758,7.01680694744526
"93",2019,9,11.2168401791559,11.291305255962,2.6758484848472,7.73517794827107
"94",2019,10,12.2774457649368,12.2010322504094,2.94055071166088,6.20474396035057
"95",2019,11,13.606180683244,13.5968451998874,4.73684810088069,5.65808877107124
"96",2019,12,13.7869674837948,14.1282590178381,6.79377471893082,6.3524159655574
"97",2020,1,14.8320241241906,14.9847871134364,6.70611977881027,7.50836816239149
"98",2020,2,14.4901038629281,14.9192829637061,7.89760325152831,6.79525530834293
"99",2020,3,14.7085782301772,15.0376174314925,6.43682925447445,6.21838176576303
"100",2020,4,13.1845639900874,13.7413427353453,4.77349818488742,5.76961759353735
"101",2020,5,13.0090122837223,13.6564652914947,4.09245576229357,7.06243553494843
"102",2020,6,11.5202932540276,12.3451724768833,2.07717974784501,7.88886322569572
"103",2020,7,11.2026898201245,11.8586274238851,2.28239704668157,7.88401181820044
"104",2020,8,11.0845208571503,11.4404425584163,2.61916077800696,8.42146534614418
"105",2020,9,11.6063488006488,11.6403007677948,5.99845753538604,7.79753921695525
"106",2020,10,12.1733859427754,12.1391329375599,7.33132623522726,7.55086121911267
"107",2020,11,13.4711987853671,13.2668539070955,5.46519080931652,6.61222229655135
"108",2020,12,13.8776137282801,13.962754383372,5.80346936272066,6.56745998704557
"109",2021,1,14.5098422800431,14.7516589380422,6.56632480199481,6.40153514210059
"110",2021,2,15.4431599271705,15.4918954622572,5.73379115836526,5.60447538167548
"111",2021,3,14.7082109324414,15.0753483689172,6.46189969978619,5.75737272703103
"112",2021,4,13.6842355953892,14.2907656650557,4.39996365478117,5.32962291233394
"113",2021,5,13.0807601144257,13.6949761008759,3.33184983444386,5.77683660380236
"114",2021,6,11.9594788502384,12.7663495497395,3.1710859879907,6.75680488033137
"115",2021,7,11.2277834001698,11.8167099295793,3.39859175401079,6.49023368574836
"116",2021,8,11.2046090952742,11.4559979627707,2.89972098969258,6.300803340509
"117",2021,9,11.853421755104,11.9108589871906,5.32659668024529,7.18175178960357
"118",2021,10,12.2921163077686,12.27802957594,7.16823717487989,7.5123332836617
"119",2021,11,13.2245921235945,13.1847732408438,6.88209673126308,7.55040782449647
"120",2021,12,14.3577874893603,14.2372702378227,6.6153900303229,6.92929434815503
"121",2022,1,15.4593950189169,15.6881259068107,6.02071496293295,5.7785586870528
"122",2022,2,15.2970631800792,15.6894546843795,6.87367113220068,6.34514014664706
"123",2022,3,13.7700408136632,14.2314187039584,5.47580132638496,7.71876310878175
"124",2022,4,11.9335227072446,12.510298243893,3.20295363321375,6.67848013790477
"125",2022,5,11.57100567826,12.1866499696784,2.44689436386417,5.53678721640487
"126",2022,6,10.7136996554521,11.5560280563086,1.61229493519047,7.20087493231012
"127",2022,7,10.6768883168647,11.2638031239925,1.52191440520712,5.35272657058878
"128",2022,8,10.7941601377541,11.0957609232721,4.26911167105615,4.91344973847114
"129",2022,9,11.4236128390508,11.362576513153,5.63804755186396,5.64202726318973
"130",2022,10,12.4329135787213,12.2959457022328,5.99725739640801,8.52120539124038
"131",2022,11,13.9380810215397,13.8195435290181,4.56058484837076,6.26351976281599
"132",2022,12,14.4616776183999,14.5455520024567,6.02644000709142,8.275634088308
"133",2023,1,14.8151486099357,14.9342428885911,6.46802854148265,6.26735531600074
"134",2023,2,13.7891559204519,14.2500369125174,5.98964714846015,6.80968443370128
"135",2023,3,14.3767701298529,14.7982391877643,5.94818642835193,6.90828118244431
"136",2023,4,13.1987523088697,13.929407705211,5.6759196160255,7.06292534054325
"137",2023,5,12.4381325902237,12.9202685936504,3.12910532307108,5.9070472702705
"138",2023,6,11.6934609658861,12.3166318406724,2.04646910976849,7.9610861987673
"139",2023,7,11.2665509132278,11.926782142003,2.11256551221018,6.84242618710473
"140",2023,8,11.587957579943,12.0404504267587,3.69384146803763,5.42457257903271
"141",2023,9,12.0776119311754,12.2633147436856,3.50698050399164,5.34227899155529
"142",2023,10,12.4149288971338,12.5347474137076,6.32615727204078,7.18999676193169
"143",2023,11,12.8434495674705,12.8588080706927,3.79719745965629,7.08488464881572
"144",2023,12,13.9882518023913,13.9754163023899,6.00471175357624,7.55134342792282
"145",2024,1,15.028081117999,14.9998328203319,5.72846233243849,7.21224415416595
"146",2024,2,15.2945721812182,15.5214399796025,5.97058456334455,5.76136042234548
"147",2024,3,14.0029603201666,14.4634170979549,5.77862470377572,5.99693462993074
"148",2024,4,13.2797356980594,14.0266710036418,4.02128956267154,6.25978776926527
"149",2024,5,11.5606870128903,12.2567229204841,2.4376243483314,6.40113356201008
"150",2024,6,11.6807235950035,12.2806129073528,1.7472989777959,8.23832614158632
"151",2024,7,10.6695864809006,11.0770804933803,2.1627816600424,8.34923071065976
"152",2024,8,10.5863860417157,10.8617065635131,2.99396173590463,7.33247767965078
"153",2024,9,11.1334080751934,11.1829050823281,2.37335157686176,6.62261332150754
"154",2024,10,12.468092049437,12.3403212737777,3.64397648399772,5.32473100959747
"155",2024,11,13.4407486411484,13.4535697524135,5.37052314733512,7.48411746988582
"156",2024,12,13.96605474611,14.115290933199,6.14416013461109,6.54852281542946
"157",2025,1,14.9162168160121,15.1519925400807,6.45706647298497,5.92294547687608
"158",2025,2,14.4343310969028,14.7976949673828,6.91474368868003,7.60782807639663
"159",2025,3,14.1902152034003,14.7309275849836,5.80301969625993,6.27525849494627
"160",2025,4,13.2551062813287,13.8577778366758,3.87209743993738,5.53859969179573
"161",2025,5,12.4577273146089,13.4428405187881,2.00789122625152,NA
"162",2025,6,11.5791687362473,NA,1.56076239918312,NA
"163",2025,7,NA,NA,1.60854072541934,NA
"164",2025,8,NA,NA,2.0278517614327,NA
